agency,agency_code,count_sum,pay_numeric_mean,pay_numeric_median,pay_numeric_std,length_of_service_years_mean,length_of_service_years_median,grade_numeric_mean,is_redacted_sum
ADMIN CONFERENCE OF THE UNITED STATES,AA,10,156681.6,154362.0,44331.1,10.42,4.2,9.2,0
ADMIN CONFERENCE OF THE UNITED STATES,AB,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,AF,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,AG,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,AH,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,AM,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,AN,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,AP,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,AR,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,AU,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,AW,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,BD,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,BF,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,BG,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,BH,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,BK,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,BO,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,BT,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,BW,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,CC,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,CE,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,CF,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,CM,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,CT,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,CU,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,CX,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,DA,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,DB,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,DD,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,DG,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,DJ,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,DL,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,DN,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,DO,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,DQ,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,EB,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,EC,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,ED,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,EE,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,EO,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,EP,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,EQ,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,EW,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,FC,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,FD,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,FI,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,FJ,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,FK,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,FL,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,FM,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,FQ,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,FR,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,FT,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,FW,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,GB,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,GC,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,GE,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,GG,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,GJ,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,GQ,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,GS,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,GU,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,GW,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,GX,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,GY,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,HB,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,HD,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,HE,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,HF,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,HP,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,HS,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,HT,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,HU,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,HW,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,IB,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,IF,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,IG,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,IN,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,JL,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,KS,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,KY,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,LF,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,LP,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,MA,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,MC,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,MI,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,NF,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,NK,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,NL,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,NM,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,NN,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,NP,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,NQ,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,NS,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,NU,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,NV,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,OM,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,OS,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,PU,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,QQ,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,RF,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,RH,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,RJ,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,RO,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,RR,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,RS,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,SB,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,SE,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,SK,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,SM,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,SS,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,ST,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,SZ,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,TB,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,TC,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,TD,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,TN,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,TR,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,TS,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,TW,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,UJ,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,UT,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,VA,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,VD,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,WK,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,WU,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,ZP,0,,,,,,,0
ADMIN CONFERENCE OF THE UNITED STATES,ZS,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,AA,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,AB,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,AF,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,AG,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,AH,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,AM,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,AN,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,AP,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,AR,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,AU,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,AW,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,BD,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,BF,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,BG,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,BH,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,BK,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,BO,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,BT,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,BW,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,CC,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,CE,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,CF,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,CM,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,CT,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,CU,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,CX,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,DA,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,DB,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,DD,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,DG,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,DJ,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,DL,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,DN,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,DO,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,DQ,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,EB,0,,,,,,,0
ADV COUNCIL ON HISTORIC PRESERVATION,EC,0,,,,,,,0
