appointment_type,agency,employee_count,avg_pay,avg_tenure
CAREER (COMPETITIVE SERVICE PERMANENT),ADMIN CONFERENCE OF THE UNITED STATES,1,166236.0,2.4
CAREER (COMPETITIVE SERVICE PERMANENT),ADV COUNCIL ON HISTORIC PRESERVATION,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),AFRICAN DEVELOPMENT FOUNDATION,16,132999.56,15.79
CAREER (COMPETITIVE SERVICE PERMANENT),AMERICAN BATTLE MONUMENTS COMMISSION,64,115041.47,17.15
CAREER (COMPETITIVE SERVICE PERMANENT),APPALACHIAN REGIONAL COMMISSION,1,195200.0,21.8
CAREER (COMPETITIVE SERVICE PERMANENT),ARCHITECTL & TRANS BARRIER COMPLIANCE BD,14,154053.14,18.9
CAREER (COMPETITIVE SERVICE PERMANENT),ARCTIC RESEARCH COMMISSION,1,183049.0,11.1
CAREER (COMPETITIVE SERVICE PERMANENT),ARMED FORCES RETIREMENT HOME,181,78705.08,13.64
CAREER (COMPETITIVE SERVICE PERMANENT),BARRY GOLDWATER SCHOL & EXCEL IN ED FOUN,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),CHEMICAL SAFETY/HAZARD INVESTIGATION BD,25,171514.83,13.94
CAREER (COMPETITIVE SERVICE PERMANENT),CIVIL RIGHTS COLD CASE REVIEW BOARD,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),CMSN FOR PRES OF AMERICA'S HERITAGE ABRD,1,195200.0,16.9
CAREER (COMPETITIVE SERVICE PERMANENT),CMTE FOR PURCH FRM PPLE BLIND OR SEV DIS,23,156869.48,17.05
CAREER (COMPETITIVE SERVICE PERMANENT),COMMISSION OF FINE ARTS,7,151939.0,14.07
CAREER (COMPETITIVE SERVICE PERMANENT),COMMISSION ON CIVIL RIGHTS,30,125475.77,17.55
CAREER (COMPETITIVE SERVICE PERMANENT),COMMODITY FUTURES TRADING COMMISSION,340,241714.83,18.34
CAREER (COMPETITIVE SERVICE PERMANENT),CONSUMER PRODUCT SAFETY COMMISSION,370,148067.81,17.95
CAREER (COMPETITIVE SERVICE PERMANENT),CORP FOR NATIONAL AND COMMUNITY SERVICE,5,181508.0,15.82
CAREER (COMPETITIVE SERVICE PERMANENT),COUNCIL OF ECONOMIC ADVISERS,2,159111.5,20.35
CAREER (COMPETITIVE SERVICE PERMANENT),COUNCIL OF INSP. GEN. ON INTEG.& EFFIC.,7,166301.57,16.79
CAREER (COMPETITIVE SERVICE PERMANENT),COUNCIL ON ENVIR QUAL/OFC OF ENVIR QUAL,2,173968.0,26.4
CAREER (COMPETITIVE SERVICE PERMANENT),COURT SERVICES AND OFFENDR SUPERVSN AGY,826,129003.18,18.62
CAREER (COMPETITIVE SERVICE PERMANENT),DEFENSE NUCLEAR FACILITIES SAFETY BOARD,26,170699.23,20.85
CAREER (COMPETITIVE SERVICE PERMANENT),DELTA REGIONAL AUTHORITY,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),DENALI COMMISSION,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),DEPARTMENT OF AGRICULTURE,55813,97844.26,15.85
CAREER (COMPETITIVE SERVICE PERMANENT),DEPARTMENT OF COMMERCE,27576,149483.29,17.36
CAREER (COMPETITIVE SERVICE PERMANENT),DEPARTMENT OF DEFENSE,94012,,14.7
CAREER (COMPETITIVE SERVICE PERMANENT),DEPARTMENT OF EDUCATION,1420,148623.73,18.21
CAREER (COMPETITIVE SERVICE PERMANENT),DEPARTMENT OF ENERGY,10799,148451.7,17.79
CAREER (COMPETITIVE SERVICE PERMANENT),DEPARTMENT OF HEALTH AND HUMAN SERVICES,51296,139839.35,15.62
CAREER (COMPETITIVE SERVICE PERMANENT),DEPARTMENT OF HOMELAND SECURITY,108342,134694.15,15.95
CAREER (COMPETITIVE SERVICE PERMANENT),DEPARTMENT OF HOUSING AND URBAN DEVELOPM,5314,144352.17,17.16
CAREER (COMPETITIVE SERVICE PERMANENT),DEPARTMENT OF INTERIOR,42102,106125.86,17.27
CAREER (COMPETITIVE SERVICE PERMANENT),DEPARTMENT OF JUSTICE,49847,109165.1,14.87
CAREER (COMPETITIVE SERVICE PERMANENT),DEPARTMENT OF LABOR,10682,128366.78,17.8
CAREER (COMPETITIVE SERVICE PERMANENT),DEPARTMENT OF STATE,7282,140551.37,16.01
CAREER (COMPETITIVE SERVICE PERMANENT),DEPARTMENT OF THE AIR FORCE,106874,,13.95
CAREER (COMPETITIVE SERVICE PERMANENT),DEPARTMENT OF THE ARMY,127907,,15.11
CAREER (COMPETITIVE SERVICE PERMANENT),DEPARTMENT OF THE NAVY,153576,,13.94
CAREER (COMPETITIVE SERVICE PERMANENT),DEPARTMENT OF TRANSPORTATION,6488,138633.79,16.14
CAREER (COMPETITIVE SERVICE PERMANENT),DEPARTMENT OF TREASURY,69562,95226.31,16.12
CAREER (COMPETITIVE SERVICE PERMANENT),DEPARTMENT OF VETERANS AFFAIRS,122439,88726.15,13.82
CAREER (COMPETITIVE SERVICE PERMANENT),DFC,342,159520.41,13.45
CAREER (COMPETITIVE SERVICE PERMANENT),ELECTION ASSISTANCE COMMISSION,0,,
CAREER (COMPETITIVE SERVICE PERMANENT),ENVIRONMENTAL PROTECTION AGENCY,11005,143747.99,18.8
CAREER (COMPETITIVE SERVICE PERMANENT),EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,1220,115635.6,17.42
CAREER (COMPETITIVE SERVICE PERMANENT),EXPORT-IMPORT BANK OF THE UNITED STATES,251,158178.76,17.92
CAREER (COMPETITIVE SERVICE PERMANENT),FARM CREDIT ADMINISTRATION,240,313148.59,15.08
CAREER (COMPETITIVE SERVICE PERMANENT),FARM CREDIT SYSTEM INSURANCE CORPORATION,8,277789.67,19.16
CAREER (COMPETITIVE SERVICE PERMANENT),FED MEDIATION AND CONCILIATION SERVICE,23,144361.0,21.32
CAREER (COMPETITIVE SERVICE PERMANENT),FED MINE SAFETY AND HEALTH REVIEW CMSN,22,120196.77,18.79
CAREER (COMPETITIVE SERVICE PERMANENT),FED RETIREMENT THRIFT INVESTMENT BOARD,191,161724.03,18.09
CAREER (COMPETITIVE SERVICE PERMANENT),FEDERAL COMMUNICATIONS COMMISSION,653,159543.78,22.48
CAREER (COMPETITIVE SERVICE PERMANENT),FEDERAL DEPOSIT INSURANCE CORPORATION,4494,191004.35,18.77
CAREER (COMPETITIVE SERVICE PERMANENT),FEDERAL ELECTION COMMISSION,2,166245.0,18.95
CAREER (COMPETITIVE SERVICE PERMANENT),FEDERAL FINANCIAL INST. EXAM. COUNCIL,5,152336.0,12.58
CAREER (COMPETITIVE SERVICE PERMANENT),FEDERAL HOUSING FINANCE AGENCY,505,208290.74,15.31
CAREER (COMPETITIVE SERVICE PERMANENT),FEDERAL LABOR RELATIONS AUTHORITY,22,145235.86,19.95
CAREER (COMPETITIVE SERVICE PERMANENT),FEDERAL MARITIME COMMISSION,62,147668.77,16.84
CAREER (COMPETITIVE SERVICE PERMANENT),FEDERAL PERMITTING IMPROVEMENT STEER,10,154438.1,17.04
CAREER (COMPETITIVE SERVICE PERMANENT),FEDERAL RESERVE SYSTEM,973,193252.89,16.33
CAREER (COMPETITIVE SERVICE PERMANENT),FEDERAL TRADE COMMISSION,320,161948.39,16.42
CAREER (COMPETITIVE SERVICE PERMANENT),GENERAL SERVICES ADMINISTRATION,9042,137124.79,18.87
CAREER (COMPETITIVE SERVICE PERMANENT),GOVERNMENT PUBLISHING OFFICE,1321,118074.89,19.94
