duty_station_state,duty_station_state_abbreviation,count_sum,pay_numeric_mean,pay_numeric_median,length_of_service_years_mean
ALABAMA,*,0,,,
ALABAMA,AK,0,,,
ALABAMA,AL,15721,104282.0,94006.0,12.27
ALABAMA,AR,0,,,
ALABAMA,AZ,0,,,
ALABAMA,CA,0,,,
ALABAMA,CO,0,,,
ALABAMA,CT,0,,,
ALABAMA,DC,0,,,
ALABAMA,DE,0,,,
ALABAMA,FL,0,,,
ALABAMA,GA,0,,,
ALABAMA,HI,0,,,
ALABAMA,IA,0,,,
ALABAMA,ID,0,,,
ALABAMA,IL,0,,,
ALABAMA,IN,0,,,
ALABAMA,KS,0,,,
ALABAMA,KY,0,,,
ALABAMA,LA,0,,,
ALABAMA,MA,0,,,
ALABAMA,MD,0,,,
ALABAMA,ME,0,,,
ALABAMA,MI,0,,,
ALABAMA,MN,0,,,
ALABAMA,MO,0,,,
ALABAMA,MS,0,,,
ALABAMA,MT,0,,,
ALABAMA,NC,0,,,
ALABAMA,ND,0,,,
ALABAMA,NDR,0,,,
ALABAMA,NE,0,,,
ALABAMA,NH,0,,,
ALABAMA,NJ,0,,,
ALABAMA,NM,0,,,
ALABAMA,NV,0,,,
ALABAMA,NY,0,,,
ALABAMA,OH,0,,,
ALABAMA,OK,0,,,
ALABAMA,OR,0,,,
ALABAMA,PA,0,,,
ALABAMA,REDACTED,0,,,
ALABAMA,RI,0,,,
ALABAMA,SC,0,,,
ALABAMA,SD,0,,,
ALABAMA,TN,0,,,
ALABAMA,TX,0,,,
ALABAMA,UT,0,,,
ALABAMA,VA,0,,,
ALABAMA,VT,0,,,
ALABAMA,WA,0,,,
ALABAMA,WI,0,,,
ALABAMA,WV,0,,,
ALABAMA,WY,0,,,
ALASKA,*,0,,,
ALASKA,AK,5319,113242.59,108678.0,12.49
ALASKA,AL,0,,,
ALASKA,AR,0,,,
ALASKA,AZ,0,,,
ALASKA,CA,0,,,
ALASKA,CO,0,,,
ALASKA,CT,0,,,
ALASKA,DC,0,,,
ALASKA,DE,0,,,
ALASKA,FL,0,,,
ALASKA,GA,0,,,
ALASKA,HI,0,,,
ALASKA,IA,0,,,
ALASKA,ID,0,,,
ALASKA,IL,0,,,
ALASKA,IN,0,,,
ALASKA,KS,0,,,
ALASKA,KY,0,,,
ALASKA,LA,0,,,
ALASKA,MA,0,,,
ALASKA,MD,0,,,
ALASKA,ME,0,,,
ALASKA,MI,0,,,
ALASKA,MN,0,,,
ALASKA,MO,0,,,
ALASKA,MS,0,,,
ALASKA,MT,0,,,
ALASKA,NC,0,,,
ALASKA,ND,0,,,
ALASKA,NDR,0,,,
ALASKA,NE,0,,,
ALASKA,NH,0,,,
ALASKA,NJ,0,,,
ALASKA,NM,0,,,
ALASKA,NV,0,,,
ALASKA,NY,0,,,
ALASKA,OH,0,,,
ALASKA,OK,0,,,
ALASKA,OR,0,,,
ALASKA,PA,0,,,
ALASKA,REDACTED,0,,,
ALASKA,RI,0,,,
ALASKA,SC,0,,,
ALASKA,SD,0,,,
ALASKA,TN,0,,,
ALASKA,TX,0,,,
ALASKA,UT,0,,,
ALASKA,VA,0,,,
ALASKA,VT,0,,,
ALASKA,WA,0,,,
ALASKA,WI,0,,,
ALASKA,WV,0,,,
ALASKA,WY,0,,,
ARIZONA,*,0,,,
ARIZONA,AK,0,,,
ARIZONA,AL,0,,,
ARIZONA,AR,0,,,
ARIZONA,AZ,23750,103970.28,90231.0,11.31
ARIZONA,CA,0,,,
ARIZONA,CO,0,,,
ARIZONA,CT,0,,,
ARIZONA,DC,0,,,
ARIZONA,DE,0,,,
ARIZONA,FL,0,,,
ARIZONA,GA,0,,,
ARIZONA,HI,0,,,
ARIZONA,IA,0,,,
ARIZONA,ID,0,,,
ARIZONA,IL,0,,,
ARIZONA,IN,0,,,
ARIZONA,KS,0,,,
ARIZONA,KY,0,,,
ARIZONA,LA,0,,,
ARIZONA,MA,0,,,
ARIZONA,MD,0,,,
ARIZONA,ME,0,,,
ARIZONA,MI,0,,,
ARIZONA,MN,0,,,
ARIZONA,MO,0,,,
ARIZONA,MS,0,,,
ARIZONA,MT,0,,,
ARIZONA,NC,0,,,
ARIZONA,ND,0,,,
ARIZONA,NDR,0,,,
ARIZONA,NE,0,,,
ARIZONA,NH,0,,,
ARIZONA,NJ,0,,,
ARIZONA,NM,0,,,
ARIZONA,NV,0,,,
ARIZONA,NY,0,,,
ARIZONA,OH,0,,,
ARIZONA,OK,0,,,
ARIZONA,OR,0,,,
ARIZONA,PA,0,,,
ARIZONA,REDACTED,0,,,
ARIZONA,RI,0,,,
ARIZONA,SC,0,,,
ARIZONA,SD,0,,,
ARIZONA,TN,0,,,
ARIZONA,TX,0,,,
ARIZONA,UT,0,,,
ARIZONA,VA,0,,,
ARIZONA,VT,0,,,
ARIZONA,WA,0,,,
ARIZONA,WI,0,,,
ARIZONA,WV,0,,,
ARIZONA,WY,0,,,
ARKANSAS,*,0,,,
ARKANSAS,AK,0,,,
ARKANSAS,AL,0,,,
ARKANSAS,AR,9767,101361.49,90428.0,11.49
ARKANSAS,AZ,0,,,
ARKANSAS,CA,0,,,
ARKANSAS,CO,0,,,
ARKANSAS,CT,0,,,
ARKANSAS,DC,0,,,
